-0,900442, 4,791073, 23,05403
0,4960013, 3,073141, 23,8581
1,961067, 2,569401, 22,68064
2,872679, 2,241833, 21,92585
-3,341389, 0,03816243, 22,80113
-3,566805, -3,711501, 22,8181
-3,280565, -7,154431, 22,92489
-3,186401, -7,848871, 22,11064
-1,900542, -0,02564265, 23,09353
-1,084705, -3,573749, 22,80434
-1,355064, -7,334427, 23,50859
-1,107079, -7,953467, 23,14509
-2,350473, 5,095708, 22,59434
-8,261853, 1,790331, 19,95543
-7,528569, 1,726666, 19,96136
3,440955, 1,946082, 21,85835
3,28738, 2,356571, 21,823
*
-2,430092, -0,1170835, 23,746
-2,077525, 2,761964, 22,95493
-1,71066, 5,547177, 22,03486
-1,536155, 6,889104, 21,54568
-3,338203, 4,694611, 21,85573
-4,226831, 2,645933, 22,59861
-4,562967, 0,4004198, 22,57522
-4,632801, -0,2931037, 22,6097
-0,2866959, 4,564226, 22,45136
1,622311, 3,284025, 23,01004
2,636223, 1,381207, 22,53895
2,731091, 0,6654822, 22,35733
-3,137112, -0,06899034, 23,30253
-3,326429, -3,813312, 22,97589
-3,275366, -7,162445, 22,96141
-3,185282, -7,848712, 22,10935
-1,651382, -0,1608808, 23,49962
-1,058003, -3,703623, 23,2111
-1,409081, -7,359421, 23,55873
-1,132475, -7,949434, 23,09531
-1,803421, 4,864448, 22,28736
-4,639914, -0,997144, 22,66177
-4,880683, -0,3726307, 22,26235
2,724097, 0,07416757, 22,41013
2,145418, 0,2760662, 22,56375
*
-1,934024, -0,2760951, 23,96551
-1,371133, 2,587937, 23,07017
-0,822184, 5,348189, 22,06566
-0,3582204, 6,645465, 21,68413
-2,355907, 4,533996, 21,78995
-4,580413, 3,993204, 22,27228
-4,827087, 1,971412, 23,04142
-4,864329, 1,480568, 23,25371
0,4455171, 4,315576, 22,79421
1,822837, 2,389686, 23,10402
3,53913, 2,569192, 21,77389
3,92423, 2,768061, 21,32387
-2,610729, -0,1755601, 23,44408
-2,516237, -3,966684, 22,24485
-3,068039, -7,287884, 22,29759
-2,78934, -7,675188, 21,28955
-1,196401, -0,3664196, 23,78928
-1,448358, -4,148637, 24,0545
-1,594911, -7,437818, 23,75167
-1,128796, -8,062416, 23,18664
-0,9573022, 4,672801, 22,33748
-4,540231, 0,9892589, 23,90167
-5,11717, 1,316399, 23,12222
4,39735, 3,171861, 21,12103
3,742683, 3,087349, 21,0876
*
-2,542243, -0,05615725, 23,41999
-2,685283, 2,862002, 22,65388
-2,842525, 5,689097, 21,79689
-3,277387, 7,040849, 21,38412
-4,454713, 4,726801, 22,34345
-6,355587, 3,316662, 22,47186
-7,583719, 3,029572, 20,68771
-8,040913, 3,00393, 20,02693
-1,312461, 4,808596, 21,82069
0,2509764, 3,313599, 22,73653
-0,03652706, 0,9807875, 22,49906
-0,3771018, 0,2637929, 22,41975
-3,250185, -0,06335046, 23,10812
-3,287735, -3,882133, 22,79368
-3,028057, -7,150487, 22,83602
-3,020789, -7,902898, 22,08046
-1,764396, -0,04581796, 23,03324
-1,40398, -3,882098, 23,06603
-1,5422, -7,383368, 23,65977
-1,194313, -8,014832, 23,16324
-2,805438, 4,996254, 22,03072
-8,394864, 2,856711, 19,44864
-8,335184, 2,733418, 19,90238
-0,4230429, -0,4486101, 22,47372
-0,1674702, 0,02244238, 22,14871
*
-3,03123, -0,1577694, 23,48959
-3,489561, 2,778579, 22,87316
-3,900009, 5,629213, 22,18312
-4,372591, 6,968774, 21,75489
-5,328044, 4,282984, 22,45167
-5,539906, 2,226523, 22,49345
-6,036138, 0,6691127, 21,43507
-6,301332, -0,01095837, 20,77542
-2,3197, 4,766872, 22,14954
-0,7075958, 3,33309, 23,08455
-0,679149, 1,02602, 22,38156
-0,8490278, 0,4662898, 22,30094
-3,721763, -0,2759857, 23,19673
-3,587641, -3,987199, 23,25336
-3,108637, -7,289148, 23,0749
-3,118388, -7,943475, 22,08593
-2,258926, -0,03140251, 23,08223
-1,313842, -3,850627, 22,56432
-1,210543, -7,451969, 23,54024
-0,8834803, -7,980733, 22,96779
-3,804647, 4,930572, 22,37392
-6,427795, -0,4487201, 20,02951
-6,223269, -0,2873822, 20,92684
-0,8741804, -0,08165134, 22,0583
-1,434966, 0,3735237, 22,609
*
-1,783832, -0,5187658, 24,15421
-2,385855, 2,413797, 23,23025
-3,008152, 5,24096, 22,16129
-3,748994, 6,491759, 21,94492
-4,075228, 4,01889, 23,6849
-3,503079, 1,991593, 24,70322
-3,534719, -0,3255099, 25,15968
-3,612105, -0,7765531, 25,20773
-1,770685, 4,098555, 21,76457
0,1031591, 2,69953, 21,25307
0,456733, 0,7545143, 21,27412
0,2698942, -0,09808379, 21,29443
-2,329727, -0,5790476, 24,12442
-2,881379, -4,020535, 23,68556
-3,060855, -7,323506, 23,44662
-3,503606, -7,962071, 22,87119
-1,186057, -0,4447383, 23,48419
-0,05759799, -3,831185, 23,47304
0,5602518, -7,210971, 24,01972
0,499144, -7,838421, 23,24144
-2,854888, 4,547383, 22,45313
-3,70018, -1,30062, 25,28441
-3,768222, -1,046207, 25,12333
0,04211702, -0,7236493, 21,10192
0,318641, -0,4981219, 20,88789
*
-2,61883, -0,8577206, 24,53968
-3,908827, 2,221758, 23,61473
-5,123383, 5,28944, 22,60878
-5,872221, 6,504755, 22,66574
-5,925776, 4,202473, 24,43473
-5,003202, 2,026347, 24,80716
-4,807295, -0,3449544, 24,8336
-4,696181, -0,9362987, 24,85206
-3,745513, 3,511795, 22,33501
-5,653201, 3,886112, 20,836
-7,706627, 4,418962, 19,72672
-8,518364, 4,578524, 19,47921
-3,029319, -0,9754637, 24,31502
-3,616741, -4,249978, 23,85417
-3,092399, -7,438175, 23,52703
-3,530631, -7,973427, 22,98445
-2,138869, -0,7104573, 24,06416
-0,1623667, -4,240581, 23,83147
0,6241908, -7,30494, 24,14328
0,5273438, -7,773438, 23,22266
-4,834665, 4,533048, 22,87805
-4,833006, -1,61487, 24,66188
-4,956934, -1,382635, 24,4775
-9,049596, 4,908882, 19,18073
-9,017505, 5,17108, 19,065
